Phone Number,Email,Credit Score,Age Group,Family Background,Income,Lead Source,Product Interest Level,Interaction Frequency,Time Since Last Interaction,Website Visit Count,Intent
+91-8091180159,user82@example.com,570,18-25,Single,700699,Referral,High,Low,14,10,0
+91-9693693947,user83@example.com,520,51+,Married with Kids,209876,Social Media,Medium,High,1,3,0
+91-8652244256,user84@example.com,520,36-50,Married with Kids,298153,Social Media,Medium,High,1,5,1
+91-8271806947,user85@example.com,570,36-50,Married with Kids,784500,Social Media,Medium,Medium,5,7,0
+91-8975942626,user86@example.com,570,26-35,Single,764687,Social Media,Medium,Low,24,8,0
+91-7282316733,user87@example.com,510,18-25,Single,123331,Event,High,High,3,1,0
+91-9377502537,user88@example.com,510,51+,Married with Kids,123004,Website,Medium,Medium,10,4,0
+91-9761819010,user89@example.com,530,26-35,Married,338441,Social Media,Medium,High,1,4,0
+91-9592348716,user90@example.com,550,51+,Married with Kids,503708,Event,High,High,1,6,0
+91-9352984586,user91@example.com,550,51+,Married,548013,Event,High,Low,21,6,0
+91-8825006782,user92@example.com,520,26-35,Married,289167,Event,High,Low,22,4,0
+91-7185313487,user93@example.com,590,26-35,Single,949649,Cold Call,Low,Low,18,9,1
+91-7285467464,user94@example.com,570,26-35,Married,713332,Cold Call,Low,High,3,9,0
+91-8944465784,user95@example.com,580,26-35,Married,895477,Event,High,Low,14,10,1
+91-7972776506,user96@example.com,530,26-35,Married,382260,Social Media,Medium,Medium,5,4,0
+91-7969379306,user97@example.com,560,51+,Married with Kids,642955,Website,Medium,High,3,9,0
+91-7927247534,user98@example.com,540,26-35,Single,437201,Referral,High,Low,26,6,0
+91-9203983078,user99@example.com,560,18-25,Single,698493,Cold Call,Low,High,3,8,0
+91-8535657041,user100@example.com,510,36-50,Married with Kids,127302,Social Media,Medium,High,3,2,0
+91-8520116046,user101@example.com,550,26-35,Married,504499,Social Media,Medium,Medium,8,8,0
+91-9623241390,user102@example.com,520,26-35,Single,262007,Referral,High,Medium,10,2,0
+91-9498653608,user103@example.com,560,51+,Married with Kids,696822,Referral,High,Medium,7,9,0
+91-7815779266,user104@example.com,580,26-35,Single,849702,Social Media,Medium,High,1,10,0
+91-8943763298,user105@example.com,520,26-35,Single,262696,Referral,High,High,2,5,0
+91-9109383705,user106@example.com,510,26-35,Single,113440,Social Media,Medium,Medium,9,4,0
+91-8064206226,user107@example.com,540,51+,Married,473145,Referral,High,High,1,6,0
+91-7901288435,user108@example.com,540,26-35,Married,408645,Referral,High,Medium,9,6,1
+91-7085268136,user109@example.com,540,36-50,Married with Kids,494485,Social Media,Medium,Medium,7,7,1
+91-7277683850,user110@example.com,580,51+,Married with Kids,894300,Event,High,Low,27,9,0
+91-9167506065,user111@example.com,570,36-50,Married,785611,Social Media,Medium,Medium,9,10,0
+91-7560474828,user112@example.com,540,51+,Married,440053,Website,Medium,Low,24,6,0
+91-8695040327,user113@example.com,570,26-35,Single,708811,Referral,High,Medium,8,8,1
+91-8231490197,user114@example.com,570,36-50,Married with Kids,794089,Cold Call,Low,High,2,8,1
+91-9976650892,user115@example.com,560,51+,Married with Kids,640022,Referral,High,Low,22,6,0
+91-7877059620,user116@example.com,570,18-25,Single,797789,Website,Medium,High,3,7,1
+91-9530295787,user117@example.com,520,26-35,Single,272409,Cold Call,Low,High,3,4,0
+91-8947066614,user118@example.com,550,51+,Married,533541,Cold Call,Low,Medium,5,8,1
+91-7320675271,user119@example.com,540,18-25,Single,445744,Social Media,Medium,Medium,5,5,0
+91-7478911481,user120@example.com,580,51+,Married with Kids,894865,Event,High,High,3,11,0
+91-8593991114,user121@example.com,560,18-25,Single,607173,Social Media,Medium,Medium,10,8,1
+91-8332136888,user122@example.com,570,26-35,Married,764471,Cold Call,Low,Medium,6,9,0
+91-9633015934,user123@example.com,570,36-50,Married,728274,Cold Call,Low,Medium,5,7,1
+91-9815816994,user124@example.com,590,18-25,Single,950185,Event,High,High,2,11,0
+91-7939272418,user125@example.com,570,51+,Married with Kids,738071,Referral,High,Low,28,9,0
+91-7421448783,user126@example.com,530,26-35,Married,311655,Event,High,Low,15,3,1
+91-7655891388,user127@example.com,550,18-25,Single,566836,Social Media,Medium,High,1,7,0
+91-7042900713,user128@example.com,590,51+,Married with Kids,908183,Referral,High,Medium,7,11,0
+91-9559749691,user129@example.com,570,51+,Married,771813,Social Media,Medium,Medium,8,8,0
+91-9961573859,user130@example.com,580,51+,Married,841204,Event,High,Low,20,9,1
+91-8084063026,user131@example.com,550,18-25,Single,532184,Referral,High,High,3,8,1
+91-9334138054,user132@example.com,520,18-25,Single,261149,Event,High,High,3,3,0
+91-8095876513,user133@example.com,530,18-25,Single,339654,Website,Medium,Medium,9,6,0
+91-8479214605,user134@example.com,550,36-50,Married,527991,Cold Call,Low,Medium,9,8,0
+91-8053880578,user135@example.com,520,18-25,Single,289216,Referral,High,Medium,5,4,0
+91-9243469920,user136@example.com,590,18-25,Single,935002,Cold Call,Low,High,3,9,1
+91-7615399625,user137@example.com,520,18-25,Single,277169,Website,Medium,Low,26,5,0
+91-8979307149,user138@example.com,590,36-50,Married with Kids,910935,Referral,High,High,1,11,0
+91-8469827515,user139@example.com,570,18-25,Single,758139,Cold Call,Low,High,3,7,0
+91-8214625534,user140@example.com,590,51+,Married,973272,Cold Call,Low,High,3,11,1
+91-8163754384,user141@example.com,520,18-25,Single,231827,Referral,High,Low,27,3,0
+91-8098420379,user142@example.com,540,51+,Married,401407,Cold Call,Low,Medium,5,5,1
+91-8260132747,user143@example.com,590,51+,Married,994923,Cold Call,Low,Medium,7,11,0
+91-8912371506,user144@example.com,540,51+,Married with Kids,417231,Referral,High,High,3,5,1
+91-8702202730,user145@example.com,560,36-50,Married,675770,Cold Call,Low,High,2,6,0
+91-9280069139,user146@example.com,520,36-50,Married,222989,Cold Call,Low,Low,15,5,0
+91-7237771751,user147@example.com,550,36-50,Married,510616,Social Media,Medium,Low,17,7,0
+91-9229005278,user148@example.com,590,18-25,Single,926547,Social Media,Medium,Medium,6,11,0
+91-8268500320,user149@example.com,530,51+,Married with Kids,376393,Website,Medium,High,1,5,0
+91-8102744179,user150@example.com,580,36-50,Married with Kids,868543,Social Media,Medium,Low,24,8,1
+91-9808792841,user151@example.com,570,36-50,Married,734649,Social Media,Medium,Low,20,10,0
+91-8686473444,user152@example.com,590,18-25,Single,911032,Website,Medium,High,2,11,1
+91-7116925257,user153@example.com,530,36-50,Married with Kids,399850,Cold Call,Low,High,3,4,0
+91-7225257051,user154@example.com,590,18-25,Single,905654,Cold Call,Low,High,3,11,0
+91-9413501172,user155@example.com,540,26-35,Married,461185,Social Media,Medium,High,1,6,1
+91-9674092122,user156@example.com,590,36-50,Married,990936,Website,Medium,High,1,12,1
+91-9175352554,user157@example.com,510,26-35,Married,141139,Cold Call,Low,High,1,2,0
+91-7052183182,user158@example.com,570,18-25,Single,739207,Event,High,Low,15,8,0
+91-8917747664,user159@example.com,580,51+,Married,871965,Referral,High,High,2,11,1
+91-8797780802,user160@example.com,540,36-50,Married with Kids,403446,Referral,High,Medium,4,7,1
+91-8999524396,user161@example.com,530,18-25,Single,325756,Referral,High,High,3,4,1
+91-7124756447,user162@example.com,540,51+,Married,449982,Social Media,Medium,Medium,9,6,1
+91-8686803924,user163@example.com,570,51+,Married,764006,Referral,High,Medium,7,7,0
+91-7778524497,user164@example.com,570,26-35,Single,768903,Referral,High,Medium,10,7,1
+91-7312878854,user165@example.com,580,18-25,Single,849856,Event,High,High,3,8,0
+91-9693348885,user166@example.com,570,51+,Married with Kids,778145,Cold Call,Low,High,3,9,0
+91-7567747886,user167@example.com,590,36-50,Married,964785,Event,High,Medium,7,9,0
+91-8247100605,user168@example.com,540,36-50,Married with Kids,451136,Social Media,Medium,High,3,6,0
+91-8526549572,user169@example.com,590,26-35,Single,937860,Referral,High,Low,21,10,0
+91-7767904306,user170@example.com,560,51+,Married,648065,Cold Call,Low,Low,26,8,0
+91-9546171911,user171@example.com,510,18-25,Single,157939,Referral,High,Low,28,2,0
+91-8899786484,user172@example.com,550,36-50,Married,546242,Referral,High,Low,28,6,0
+91-8337060332,user173@example.com,590,51+,Married,972882,Social Media,Medium,High,3,12,0
+91-9593640954,user174@example.com,510,51+,Married,123548,Referral,High,Medium,9,1,0
+91-8340553111,user175@example.com,550,26-35,Married,556437,Website,Medium,High,3,8,0
+91-8179810981,user176@example.com,570,36-50,Married,749837,Cold Call,Low,Low,22,7,1
+91-9061382987,user177@example.com,550,36-50,Married with Kids,533917,Cold Call,Low,High,1,7,0
+91-7415933217,user178@example.com,550,18-25,Single,544503,Website,Medium,High,3,8,0
+91-9993530178,user179@example.com,520,36-50,Married with Kids,237799,Social Media,Medium,Low,29,5,1
+91-8221541925,user180@example.com,580,18-25,Single,865820,Referral,High,Medium,9,10,0
+91-9788715621,user181@example.com,520,36-50,Married with Kids,281789,Referral,High,High,2,5,0
+91-8961317143,user182@example.com,550,26-35,Single,525643,Cold Call,Low,High,3,7,0
+91-7512453339,user183@example.com,570,36-50,Married with Kids,772052,Social Media,Medium,Low,14,9,1
+91-7214934224,user184@example.com,560,18-25,Single,655913,Social Media,Medium,Medium,10,8,1
+91-7529163233,user185@example.com,590,18-25,Single,911350,Social Media,Medium,Low,13,11,0
+91-8986355034,user186@example.com,550,26-35,Single,534352,Referral,High,Low,23,5,1
+91-7528051558,user187@example.com,570,36-50,Married,739169,Social Media,Medium,High,3,10,1
+91-7998510949,user188@example.com,550,36-50,Married with Kids,545625,Website,Medium,Medium,8,8,0
+91-7590041439,user189@example.com,590,26-35,Single,902009,Event,High,Low,23,10,0
+91-9152940897,user190@example.com,540,36-50,Married with Kids,447299,Social Media,Medium,High,3,7,1
+91-7899416229,user191@example.com,520,36-50,Married with Kids,211776,Event,High,Low,13,5,0
+91-9420447897,user192@example.com,590,18-25,Single,985678,Referral,High,High,3,10,0
+91-8452129790,user193@example.com,580,36-50,Married,858284,Social Media,Medium,Medium,5,11,0
+91-7113687268,user194@example.com,580,36-50,Married,882119,Cold Call,Low,Low,24,9,0
+91-8823309857,user195@example.com,560,26-35,Married,613624,Referral,High,Medium,7,8,0
+91-9333347986,user196@example.com,530,26-35,Married,312803,Website,Medium,Medium,7,6,0
+91-7970909254,user197@example.com,520,51+,Married with Kids,258761,Website,Medium,High,2,2,0
+91-8921530710,user198@example.com,570,18-25,Single,766514,Event,High,Low,21,8,1
+91-8761378594,user199@example.com,550,36-50,Married,597873,Event,High,Low,11,7,0
+91-8680357744,user200@example.com,540,36-50,Married,457092,Cold Call,Low,High,1,5,0
+91-7108635224,user201@example.com,510,51+,Married,121341,Cold Call,Low,High,1,4,1
+91-9965926806,user202@example.com,540,36-50,Married with Kids,459698,Website,Medium,Medium,10,7,1
+91-7258188694,user203@example.com,530,18-25,Single,305753,Social Media,Medium,Low,29,4,0
+91-9958535123,user204@example.com,590,51+,Married with Kids,994230,Website,Medium,Low,20,10,0
+91-7646938717,user205@example.com,540,18-25,Single,408474,Website,Medium,High,1,7,0
+91-9804826702,user206@example.com,580,51+,Married with Kids,873429,Cold Call,Low,High,3,8,1
+91-9292766252,user207@example.com,540,51+,Married,449903,Event,High,High,1,7,0
+91-7526571992,user208@example.com,580,26-35,Married,823776,Cold Call,Low,Low,28,11,0
+91-8315718936,user209@example.com,580,18-25,Single,880427,Cold Call,Low,Low,27,10,1
+91-9634653204,user210@example.com,540,36-50,Married,448951,Cold Call,Low,Medium,8,7,0
+91-7155988829,user211@example.com,590,36-50,Married with Kids,919745,Website,Medium,High,3,10,1
+91-8637434845,user212@example.com,540,18-25,Single,409044,Social Media,Medium,Medium,7,4,0
+91-7538578687,user213@example.com,510,36-50,Married with Kids,178840,Website,Medium,Low,23,4,0
+91-8278333877,user214@example.com,520,36-50,Married,265767,Referral,High,Medium,9,3,0
+91-8334936860,user215@example.com,520,18-25,Single,261297,Cold Call,Low,Medium,5,5,0
+91-9321553237,user216@example.com,590,51+,Married with Kids,972504,Cold Call,Low,Medium,6,9,1
+91-7061967422,user217@example.com,590,18-25,Single,982799,Referral,High,High,1,10,1
+91-7894054110,user218@example.com,510,51+,Married,149156,Cold Call,Low,Low,16,1,1
+91-7186603840,user219@example.com,530,36-50,Married with Kids,308281,Cold Call,Low,High,1,6,0
+91-7564162501,user220@example.com,510,36-50,Married with Kids,187453,Cold Call,Low,Medium,8,2,0
+91-9712575236,user221@example.com,570,36-50,Married with Kids,783189,Referral,High,High,2,9,0
+91-7628132442,user222@example.com,510,26-35,Single,125938,Website,Medium,Low,11,4,0
+91-8779396387,user223@example.com,510,51+,Married,159164,Cold Call,Low,Low,13,4,0
+91-9893356476,user224@example.com,550,26-35,Single,547746,Social Media,Medium,Medium,5,6,1
+91-7772633039,user225@example.com,580,26-35,Married,823559,Referral,High,Medium,4,11,0
+91-9053389736,user226@example.com,560,18-25,Single,684570,Event,High,High,2,8,0
+91-7048083632,user227@example.com,540,26-35,Married,409945,Referral,High,Low,21,6,1
+91-7235819165,user228@example.com,550,18-25,Single,502681,Website,Medium,Low,28,7,0
+91-9797715294,user229@example.com,530,18-25,Single,365470,Referral,High,High,1,6,0
+91-8039628429,user230@example.com,570,26-35,Single,782954,Event,High,Low,16,8,0
+91-8019567662,user231@example.com,520,51+,Married,215819,Social Media,Medium,Medium,9,3,1
+91-7332966485,user232@example.com,530,51+,Married with Kids,366907,Event,High,Medium,5,6,0
+91-9624629899,user233@example.com,550,51+,Married,581873,Referral,High,High,1,8,0
+91-7043395159,user234@example.com,520,51+,Married with Kids,241900,Event,High,High,1,3,1
+91-8778180408,user235@example.com,540,51+,Married with Kids,409732,Referral,High,High,2,7,1
+91-8125840818,user236@example.com,580,26-35,Single,897653,Social Media,Medium,Medium,5,10,1
+91-7787664224,user237@example.com,550,26-35,Single,504427,Social Media,Medium,High,1,8,0
+91-8186768627,user238@example.com,560,36-50,Married,637857,Website,Medium,Low,20,6,1
+91-7071023321,user239@example.com,530,51+,Married with Kids,327966,Social Media,Medium,High,1,5,0
+91-7459827992,user240@example.com,510,26-35,Single,137860,Cold Call,Low,Low,16,2,0
+91-8734164936,user241@example.com,530,36-50,Married,302630,Event,High,Medium,5,6,0
+91-9166102143,user242@example.com,590,51+,Married with Kids,931769,Event,High,Low,25,10,1
+91-8748132230,user243@example.com,560,18-25,Single,623225,Referral,High,Low,14,8,0
+91-7370460862,user244@example.com,570,36-50,Married with Kids,768875,Social Media,Medium,Low,28,10,0
+91-7512718703,user245@example.com,560,26-35,Single,695983,Website,Medium,Medium,10,9,0
+91-8668774356,user246@example.com,530,18-25,Single,353078,Website,Medium,Low,22,6,0
+91-8572283792,user247@example.com,580,18-25,Single,866887,Website,Medium,Low,26,9,0
+91-8405523908,user248@example.com,540,18-25,Single,468893,Cold Call,Low,High,1,5,0
+91-9309095079,user249@example.com,520,36-50,Married,255976,Social Media,Medium,High,2,3,1
+91-8009520420,user250@example.com,580,26-35,Married,815295,Website,Medium,High,1,8,0
+91-8295393483,user251@example.com,590,18-25,Single,930222,Cold Call,Low,Low,21,10,1
+91-9600640958,user252@example.com,590,51+,Married,955012,Event,High,Low,12,10,0
+91-7410391686,user253@example.com,510,18-25,Single,105636,Referral,High,Medium,10,2,0
+91-7697697835,user254@example.com,530,18-25,Single,361578,Social Media,Medium,Low,14,6,0
+91-8136030210,user255@example.com,540,36-50,Married with Kids,439273,Social Media,Medium,Low,12,5,1
+91-7544839446,user256@example.com,530,36-50,Married,383816,Event,High,Medium,5,4,0
+91-9830723718,user257@example.com,580,26-35,Married,892244,Social Media,Medium,Low,17,10,0
+91-9458110989,user258@example.com,530,51+,Married with Kids,327693,Social Media,Medium,Medium,6,4,0
+91-8682547578,user259@example.com,560,36-50,Married with Kids,621393,Social Media,Medium,Medium,7,7,1
+91-9657543601,user260@example.com,510,18-25,Single,100654,Social Media,Medium,High,1,2,0
+91-8571851485,user261@example.com,560,26-35,Single,678921,Cold Call,Low,Low,30,8,0
+91-9123191203,user262@example.com,510,18-25,Single,117143,Cold Call,Low,High,3,4,1
+91-9104814133,user263@example.com,560,18-25,Single,680222,Referral,High,Low,29,6,1
+91-8388378387,user264@example.com,540,36-50,Married,429478,Social Media,Medium,High,3,4,0
+91-8771671442,user265@example.com,570,26-35,Married,727751,Event,High,Medium,8,8,0
+91-8971731482,user266@example.com,520,51+,Married,225851,Website,Medium,Medium,8,4,0
+91-8606824347,user267@example.com,560,51+,Married with Kids,653375,Referral,High,Medium,5,8,1
+91-8920605631,user268@example.com,570,36-50,Married with Kids,766978,Website,Medium,Medium,5,9,0
+91-7676207732,user269@example.com,580,36-50,Married,894878,Website,Medium,Low,22,10,1
+91-9912742141,user270@example.com,590,26-35,Married,988559,Social Media,Medium,Low,21,11,1
+91-7000182966,user271@example.com,540,51+,Married,411011,Event,High,High,3,5,1
+91-8262304089,user272@example.com,550,51+,Married,544244,Website,Medium,Low,22,8,1
+91-7494918173,user273@example.com,590,51+,Married with Kids,946533,Website,Medium,Low,17,10,0
+91-8467292545,user274@example.com,520,18-25,Single,258272,Referral,High,High,1,5,0
+91-7959997947,user275@example.com,530,51+,Married with Kids,326179,Event,High,Medium,8,6,0
+91-8642468291,user276@example.com,590,18-25,Single,974506,Event,High,High,3,12,0
+91-7126509674,user277@example.com,580,26-35,Married,816825,Website,Medium,High,2,8,0
+91-9940932659,user278@example.com,560,18-25,Single,602716,Event,High,Medium,10,8,0
+91-7894807816,user279@example.com,530,26-35,Married,317508,Referral,High,High,3,4,1
+91-9863297885,user280@example.com,570,51+,Married,742710,Referral,High,High,3,10,1
+91-7396683093,user281@example.com,540,51+,Married,450036,Referral,High,High,1,5,0
+91-7993686065,user282@example.com,530,26-35,Married,319631,Social Media,Medium,Low,17,6,0
+91-7691399404,user283@example.com,540,36-50,Married with Kids,482188,Website,Medium,Medium,4,5,0
+91-8341791859,user284@example.com,510,26-35,Single,139148,Event,High,Medium,9,4,1
+91-8005080889,user285@example.com,590,36-50,Married with Kids,969360,Referral,High,High,1,11,0
+91-9742641502,user286@example.com,520,18-25,Single,251770,Website,Medium,Low,14,3,1
+91-8154619391,user287@example.com,550,18-25,Single,535686,Website,Medium,Medium,6,8,1
+91-9164282770,user288@example.com,550,18-25,Single,585287,Social Media,Medium,Medium,8,7,1
+91-8818515565,user289@example.com,590,51+,Married,938092,Event,High,High,1,10,1
+91-9087742261,user290@example.com,590,18-25,Single,921882,Event,High,High,3,12,1
+91-7579439155,user291@example.com,580,36-50,Married with Kids,811823,Referral,High,High,3,8,1
+91-7571848949,user292@example.com,530,18-25,Single,395901,Referral,High,Medium,6,4,0
+91-7392108928,user293@example.com,510,26-35,Single,178012,Website,Medium,High,1,1,0
+91-8273449414,user294@example.com,590,26-35,Single,993182,Event,High,High,1,10,1
+91-9981404974,user295@example.com,510,51+,Married with Kids,156116,Event,High,High,2,2,0
+91-7319449795,user296@example.com,520,26-35,Single,244233,Referral,High,Low,14,4,0
+91-7574327041,user297@example.com,510,36-50,Married with Kids,132152,Cold Call,Low,High,3,2,1
+91-8482825414,user298@example.com,520,18-25,Single,206379,Website,Medium,Medium,7,2,1
+91-8923130655,user299@example.com,530,51+,Married,326905,Event,High,High,2,3,0
+91-8265613120,user300@example.com,510,18-25,Single,120836,Social Media,Medium,Medium,5,3,0
+91-9347184115,user301@example.com,530,18-25,Single,321439,Social Media,Medium,Low,11,3,0
+91-7883305291,user302@example.com,520,36-50,Married,286720,Cold Call,Low,Low,13,4,0
+91-7936554536,user303@example.com,520,26-35,Married,257403,Referral,High,High,3,5,1
+91-8635033184,user304@example.com,520,26-35,Single,241835,Referral,High,Medium,6,3,0
+91-8256103542,user305@example.com,590,18-25,Single,955876,Referral,High,High,1,10,1
+91-9416300742,user306@example.com,570,51+,Married,717397,Social Media,Medium,High,3,7,0
+91-7525732664,user307@example.com,520,26-35,Single,250259,Referral,High,Medium,10,4,0
+91-8752639201,user308@example.com,520,51+,Married,243029,Social Media,Medium,Medium,7,2,1
+91-8085136462,user309@example.com,540,26-35,Married,497595,Cold Call,Low,Medium,4,6,0
+91-7791406245,user310@example.com,570,51+,Married with Kids,706306,Website,Medium,Medium,6,9,0
+91-7707613684,user311@example.com,570,36-50,Married with Kids,747364,Event,High,Medium,6,8,1
+91-9418961863,user312@example.com,570,51+,Married,782465,Cold Call,Low,Low,27,8,1
+91-9924270293,user313@example.com,540,36-50,Married with Kids,494093,Social Media,Medium,Low,22,5,0
